fert date (ddmmyyyy),fert NH4-N (g m-2),fert NH3-N (g m-2),fert urea-N (g m-2),fert NO3-N bradcast (g m-2),fert NH4-N (g m-2).1,fert NH3-N (g m-2).1,fert urea-N (g m-2).1,fert NO3-N banded (g m-2),fert PO4-P broadcast (g m-2),fert PO4-P banded (g m-2),fert rock-P broadcast (g m-2),fert lime-Ca (g m-2),fert gypsum-Ca (g m-2),fert plant litter C (g m-2),fert plant litter N (g m-2),fert plant litter P (g m-2),fert manure C (g m-2),fert manure N (g m-2) adj,fert manure P (g m-2),fert depth of application (m),fert row spacing (m - banded only),fast or slow release fertilizer,fast or slow release fertilizer (encoded),plant litter type,fertilizer type,fertilizer type encoded,Unnamed: 27,fert manure N (g m-2) original
08042004,0,0,0,0,0.042,0,0,0.042,0,0,0,0,0,0.0,0.0,0.0,39.2,5.585,2.4,0.15,0.5,slow,2,0,4-4-2 pelleted fertilizer,1,,5.6
09042004,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,240.9,11.4,1.9,0.0,0.0,0.0,0.0,0.5,,0,6,yard waste compost,0,,0.0
30062004,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,240.9,11.4,1.9,0.0,0.0,0.0,0.0,0.5,,0,6,yard waste compost,0,,0.0
07072004,0,0,0,0,0.0165,0,0,0.0165,0,0,0,0,0,0.0,0.0,0.0,15.7,2.185,1.0,0.0,0.5,slow,2,0,4-4-2 pelleted fertilizer,1,,2.2
25042005,0,0,0,0,0.042,0,0,0.042,0,0,0,0,0,0.0,0.0,0.0,39.2,5.585,2.4,0.15,0.5,slow,2,0,4-4-2 pelleted fertilizer,1,,5.6
26042005,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,240.9,11.4,1.9,0.0,0.0,0.0,0.0,0.5,,0,6,yard waste compost,0,,0.0
22062005,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,240.9,11.4,1.9,0.0,0.0,0.0,0.0,0.5,,0,6,yard waste compost,0,,0.0
06072005,0,0,0,0,0.045,0,0,0.045,0,0,0,0,0,0.0,0.0,0.0,33.2,7.2,4.0,0.15,0.5,slow,2,0,8-1-1 pelleted fertilizer,1,,7.2
12082005,0,0,0,0,0.286,0,0,0.198,0,0,0,0,0,0.0,0.0,0.0,0.0,1.716,0.8,0.0,0.5,fast,1,0,2.5-2-1.5 liquid fertilizer,0,,2.2
18082005,0,0,0,0,0.26,0,0,0.18,0,0,0,0,0,0.0,0.0,0.0,0.0,1.56,0.7,0.0,0.5,fast,1,0,2.5-2-1.5 liquid fertilizer,0,,2.0
25082005,0,0,0,0,0.26,0,0,0.18,0,0,0,0,0,0.0,0.0,0.0,0.0,1.56,0.7,0.0,0.5,fast,1,0,2.5-2-1.5 liquid fertilizer,0,,2.0
11052006,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,240.9,11.4,1.9,0.0,0.0,0.0,0.0,0.5,,0,6,yard waste compost,0,,0.0
15052006,0,0,0,0,0.042,0,0,0.042,0,0,0,0,0,0.0,0.0,0.0,39.2,5.585,2.4,0.15,0.5,slow,2,0,4-4-2 pelleted fertilizer,1,,5.6
18062006,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,240.9,11.4,1.9,0.0,0.0,0.0,0.0,0.5,,0,6,yard waste compost,0,,0.0
09072006,0,0,0,0,0.143,0,0,0.099,0,0,0,0,0,0.0,0.0,0.0,0.0,0.858,0.3,0.0,0.5,fast,1,0,2.5-2-1.5 liquid fertilizer,0,,1.1
19072006,0,0,0,0,0.08375,0,0,0.08375,0,0,0,0,0,0.0,0.0,0.0,62.2,13.4,0.7,0.15,0.5,slow,2,0,8-1-1 pelleted fertilizer,1,,13.4
08092006,0,0,0,0,0.143,0,0,0.099,0,0,0,0,0,0.0,0.0,0.0,0.0,0.858,0.4,0.0,0.5,fast,1,0,2.5-2-1.5 liquid fertilizer,0,,1.1
15092006,0,0,0,0,0.143,0,0,0.099,0,0,0,0,0,0.0,0.0,0.0,0.0,0.858,0.4,0.0,0.5,fast,1,0,2.5-2-1.5 liquid fertilizer,0,,1.1
22092006,0,0,0,0,0.143,0,0,0.099,0,0,0,0,0,0.0,0.0,0.0,0.0,0.858,0.4,0.0,0.5,fast,1,0,2.5-2-1.5 liquid fertilizer,0,,1.1
29092006,0,0,0,0,0.078,0,0,0.054,0,0,0,0,0,0.0,0.0,0.0,0.0,0.468,0.2,0.0,0.5,fast,1,0,2.5-2-1.5 liquid fertilizer,0,,0.6
03052007,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,240.9,11.4,1.9,0.0,0.0,0.0,0.0,0.5,,0,6,yard waste compost,0,,0.0
04052007,0,0,0,0,0.042,0,0,0.042,0,0,0,0,0,0.0,0.0,0.0,39.2,5.585,2.4,0.15,0.5,slow,2,0,4-4-2 pelleted fertilizer,1,,5.6
01062007,0,0,0,0,0.117,0,0,0.081,0,0,0,0,0,0.0,0.0,0.0,0.0,0.702,0.1,0.0,0.5,fast,1,0,6-2-0 liquid fertilizer,0,,0.9
08062007,0,0,0,0,0.117,0,0,0.081,0,0,0,0,0,0.0,0.0,0.0,0.0,0.702,0.1,0.0,0.5,fast,1,0,6-2-0 liquid fertilizer,0,,0.9
12072007,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,240.9,11.4,1.9,0.0,0.0,0.0,0.0,0.5,,0,6,yard waste compost,0,,0.0
13072007,0,0,0,0,0.083125,0,0,0.083125,0,0,0,0,0,0.0,0.0,0.0,61.4,13.3,0.7,0.15,0.5,slow,2,0,8-1-1 pelleted fertilizer,1,,13.3
03082007,0,0,0,0,0.13,0,0,0.09,0,0,0,0,0,0.0,0.0,0.0,0.0,0.78,0.1,0.0,0.5,fast,1,0,6-2-0 liquid fertilizer,0,,1.0
10082007,0,0,0,0,0.13,0,0,0.09,0,0,0,0,0,0.0,0.0,0.0,0.0,0.78,0.1,0.0,0.5,fast,1,0,6-2-0 liquid fertilizer,0,,1.0
24082007,0,0,0,0,0.13,0,0,0.09,0,0,0,0,0,0.0,0.0,0.0,0.0,0.78,0.1,0.0,0.5,fast,1,0,6-2-0 liquid fertilizer,0,,1.0
18042008,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,240.9,11.4,1.9,0.0,0.0,0.0,0.0,0.5,,0,6,yard waste compost,0,,0.0
18042008,0,0,0,0,0.035,0,0,0.035,0,0,0,0,0,0.0,0.0,0.0,25.9,5.6,0.3,0.15,0.5,slow,2,0,8-1-1 pelleted fertilizer,1,,5.6
30052008,0,0,0,0,0.13,0,0,0.09,0,0,0,0,0,0.0,0.0,0.0,0.0,0.78,0.1,0.0,0.5,fast,1,0,6-2-0 liquid fertilizer,0,,1.0
24062008,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,240.9,11.4,1.9,0.0,0.0,0.0,0.0,0.5,,0,6,yard waste compost,0,,0.0
26062008,0,0,0,0,0.078125,0,0,0.078125,0,0,0,0,0,0.0,0.0,0.0,57.8,12.5,0.7,0.15,0.5,slow,2,0,8-1-1 pelleted fertilizer,1,,12.5
04082008,0,0,0,0,0.143,0,0,0.099,0,0,0,0,0,0.0,0.0,0.0,0.0,0.858,1.6,0.0,0.5,fast,1,0,6-2-0 liquid fertilizer,0,,1.1
11082008,0,0,0,0,0.143,0,0,0.099,0,0,0,0,0,0.0,0.0,0.0,0.0,0.858,1.6,0.0,0.5,fast,1,0,6-2-0 liquid fertilizer,0,,1.1
18082008,0,0,0,0,0.143,0,0,0.099,0,0,0,0,0,0.0,0.0,0.0,0.0,0.858,1.6,0.0,0.5,fast,1,0,6-2-0 liquid fertilizer,0,,1.1
29082008,0,0,0,0,0.117,0,0,0.081,0,0,0,0,0,0.0,0.0,0.0,0.0,0.702,1.3,0.0,0.5,fast,1,0,6-2-0 liquid fertilizer,0,,0.9
24042009,0,0,0,0,0.04125,0,0,0.04125,0,0,0,0,0,0.0,0.0,0.0,30.6,6.6,0.4,0.15,0.5,slow,2,0,8-1-1 pelleted fertilizer,1,,6.6
28042009,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,240.9,11.4,1.9,0.0,0.0,0.0,0.0,0.5,,0,6,yard waste compost,0,,0.0
08062009,0,0,0,0,0.091,0,0,0.063,0,0,0,0,0,0.0,0.0,0.0,0.0,0.546,0.1,0.0,0.5,fast,1,0,5-1-1 liquid fertilizer,0,,0.7
06072009,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,240.9,11.4,1.9,0.0,0.0,0.0,0.0,0.5,,0,6,yard waste compost,0,,0.0
02072009,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,65.3,14.1,0.8,0.15,0.5,slow,2,0,811 pelleted fertilizer,1,,14.1
19082009,0,0,0,0,0.195,0,0,0.135,0,0,0,0,0,0.0,0.0,0.0,0.0,1.17,0.1,0.0,0.5,fast,1,0,5-1-1 liquid fertilizer,0,,1.5
26082009,0,0,0,0,0.156,0,0,0.108,0,0,0,0,0,0.0,0.0,0.0,0.0,0.936,0.1,0.0,0.5,fast,1,0,5-1-1 liquid fertilizer,0,,1.2
25042010,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,29.0,6.3,0.3,0.15,0.5,slow,2,0,811 pelleted fertilizer,1,,6.3
26042010,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,240.9,11.4,1.9,0.0,0.0,0.0,0.0,0.5,,0,6,yard waste compost,0,,0.0
02062010,0,0,0,0,0.13,0,0,0.09,0,0,0,0,0,0.0,0.0,0.0,0.0,0.78,0.1,0.0,0.5,fast,1,0,5-1-1 liquid fertilizer,0,,1.0
12072010,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,240.9,11.4,1.9,0.0,0.0,0.0,0.0,0.5,,0,6,yard waste compost,0,,0.0
13072010,0,0,0,0,0.089375,0,0,0.089375,0,0,0,0,0,0.0,0.0,0.0,66.1,14.3,0.8,0.15,0.5,slow,2,0,8-1-1 pelleted fertilizer,1,,14.3
20082010,0,0,0,0,0.104,0,0,0.072,0,0,0,0,0,0.0,0.0,0.0,0.0,0.624,0.07,0.0,0.5,fast,1,0,5-1-1 liquid fertilizer,0,,0.8
27082010,0,0,0,0,0.104,0,0,0.072,0,0,0,0,0,0.0,0.0,0.0,0.0,0.624,0.07,0.0,0.5,fast,1,0,5-1-1 liquid fertilizer,0,,0.8
03092010,0,0,0,0,0.117,0,0,0.081,0,0,0,0,0,0.0,0.0,0.0,0.0,0.702,0.08,0.0,0.5,fast,1,0,5-1-1 liquid fertilizer,0,,0.9
25042011,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,240.9,11.4,1.9,0.0,0.0,0.0,0.0,0.5,,0,6,yard waste compost,0,,0.0
26042011,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,26.9,5.8,0.3,0.15,0.5,slow,2,0,811 pelleted fertilizer,1,,5.8
08062011,0,0,0,0,0.195,0,0,0.135,0,0,0,0,0,0.0,0.0,0.0,0.0,1.17,0.11,0.0,0.5,fast,1,0,5-1-1 liquid fertilizer,0,,1.5
